run,execution_time,hiddensize,batchsize,learningrate,history,channels,kernelsize,activation,rmse_train,rmse_val,mae_train,mae_val
50,50376.34100151062,64,64,0.001,10,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.7884881496429443,7.1002655029296875,0.6052248477935791,6.179714202880859
50,53344.76723408699,128,32,0.0001,10,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,1.5395795106887817,5.345184803009033,1.1601461172103882,4.62204647064209
50,53460.088995456696,32,32,0.0001,10,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,1.5200849771499634,5.042118072509766,1.141998291015625,4.367064476013184
50,53576.966259002686,64,32,0.001,10,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.4063331186771393,8.133161544799805,0.31172606348991394,7.309776306152344
50,54528.49764585495,128,32,0.01,10,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.5698884129524231,4.394927024841309,0.4405466914176941,3.841555118560791
50,54668.330647945404,64,32,0.01,10,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.6507115364074707,6.3238983154296875,0.5034469366073608,5.633781433105469
50,55303.715903759,128,128,0.005,10,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.25632935762405396,9.0248441696167,0.19797033071517944,7.402796745300293
50,55847.709429979324,64,64,0.005,10,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.41905245184898376,5.874146461486816,0.3255690336227417,4.794116973876953
50,55850.06616806984,64,32,0.001,20,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.593985915184021,6.437234401702881,0.4601063132286072,5.5171613693237305
50,57029.969725608826,256,32,0.005,10,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.3719542622566223,6.248140335083008,0.2835903465747833,5.6108503341674805
50,58021.846143484116,64,256,0.0001,10,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,1.2436927556991577,5.2365946769714355,0.9526117444038391,4.463385581970215
50,58882.96933889389,64,32,0.001,20,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.5226098299026489,9.829736709594727,0.40698081254959106,8.387115478515625
50,58925.41721725464,64,128,0.01,20,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.1955430507659912,5.293039798736572,0.15405866503715515,4.500567436218262
50,59486.7072994709,32,32,0.0001,20,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,1.346583604812622,4.333861351013184,1.0201444625854492,3.7054100036621094
50,60063.96797943115,128,128,0.005,20,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.13200360536575317,4.2373576164245605,0.10125347226858139,3.641110897064209
50,60190.14583683014,256,32,0.0001,20,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,1.152552843093872,4.876961708068848,0.8718048930168152,4.31158447265625
50,60965.447669029236,128,256,0.005,10,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.17702655494213104,6.466544151306152,0.13245466351509094,5.3349761962890625
50,61207.10097527504,512,128,0.0001,10,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.6988556981086731,7.041592597961426,0.5396918654441833,6.171243667602539
50,61261.69838786125,256,32,0.01,30,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.3690302073955536,4.784758567810059,0.2818622291088104,4.2585577964782715
50,61280.3628578186,32,64,0.005,20,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.22320154309272766,5.377293586730957,0.17450928688049316,4.550768852233887
50,61492.36552119255,64,32,0.01,30,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.3127516806125641,4.4382004737854,0.2412552833557129,3.9024875164031982
50,62306.70083904266,256,64,0.01,30,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.23956048488616943,5.618162631988525,0.1819426715373993,4.970919609069824
50,62902.65918803215,512,256,0.0001,10,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,1.0519704818725586,5.343414306640625,0.7961099147796631,4.839109420776367
50,62965.61048269272,512,128,0.0001,20,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.6706372499465942,3.308107852935791,0.5145717263221741,2.773550510406494
50,63147.655668735504,512,64,0.005,20,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.15047411620616913,4.838505744934082,0.11407585442066193,4.260204315185547
50,63302.77103638649,512,64,0.001,20,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.14798730611801147,6.143263339996338,0.10896086692810059,5.192389488220215
50,63649.39284157753,256,256,0.001,10,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.09950141608715057,5.338665962219238,0.069593645632267,4.550492286682129
50,63701.61288976669,512,256,0.01,10,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.09618226438760757,6.356656551361084,0.06983734667301178,5.541966438293457
50,64272.89979696274,64,256,0.005,30,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.052786339074373245,6.896262168884277,0.04067351296544075,5.877894401550293
50,64459.29168462753,512,128,0.005,30,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.25600919127464294,7.3035888671875,0.19058188796043396,6.543047904968262
50,64546.46503210068,256,256,0.0001,20,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.7021269202232361,4.004973888397217,0.5324050784111023,3.4268620014190674
50,65294.56017112732,256,256,0.01,20,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.17137719690799713,4.007681369781494,0.1322680562734604,3.4297778606414795
50,65353.518268823624,512,64,0.005,30,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.13414205610752106,3.1462204456329346,0.10200021415948868,2.704094409942627
50,65811.15403699875,32,64,0.001,20,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.2427702248096466,5.653328895568848,0.18750759959220886,4.9134674072265625
50,65867.42466306686,32,64,0.001,20,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.24029067158699036,5.065802097320557,0.18519006669521332,4.394852638244629
50,66287.81450605392,64,512,0.001,10,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.4641655385494232,7.740692138671875,0.3544904589653015,6.3791184425354
50,66537.38468170166,512,128,0.001,20,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.09979631006717682,5.916488170623779,0.07568506896495819,5.100595951080322
50,66685.00435996056,128,256,0.005,20,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.06128299981355667,4.088829040527344,0.04807397350668907,3.5142288208007812
50,66773.61356520653,32,32,0.01,30,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.354428768157959,4.001189708709717,0.26866450905799866,3.502466917037964
50,66788.4782807827,512,512,0.005,10,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.22562575340270996,5.069028377532959,0.17956800758838654,4.161383152008057
50,66960.85243606567,512,256,0.01,30,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.013624200597405434,3.7194430828094482,0.010405616834759712,3.286745548248291
50,67041.27461528778,128,512,0.0001,10,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.6220690011978149,6.045655250549316,0.4775591492652893,5.2137346267700195
50,67303.41345667839,64,512,0.005,20,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.14140655100345612,8.621599197387695,0.10931428521871567,7.590075492858887
50,67383.05940032005,32,512,0.005,20,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.2209063470363617,5.910594940185547,0.17693398892879486,5.140923500061035
50,67526.09529042244,64,64,0.005,30,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.1951911449432373,6.795655250549316,0.1510128229856491,5.932674884796143
50,67891.72276568413,256,128,0.005,30,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.09543882310390472,5.017065525054932,0.0732736885547638,4.3527984619140625
50,68011.57747602463,512,512,0.001,20,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.07357360422611237,6.8466997146606445,0.05891386419534683,5.778827667236328
50,68029.38005113602,256,128,0.01,30,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.14022447168827057,5.5851149559021,0.1079006940126419,4.737555980682373
50,68354.41119170189,512,512,0.0001,30,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.11308519542217255,5.8904805183410645,0.07443501055240631,5.163212776184082
50,68386.92357683182,512,512,0.001,20,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.12738804519176483,4.935518741607666,0.10827431827783585,4.128074645996094
