run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,rmse_train,rmse_val,mae_train,mae_val
60,3650.159586429596,[16],16,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.3510905504226685,4.6813225746154785,0.963631272315979,3.6119492053985596
60,3682.915881872177,[16],16,0.05,1,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.356054663658142,2.866786241531372,0.9721225500106812,2.6195030212402344
60,3768.491115093231,[16],16,0.01,2,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.3873984813690186,2.336822271347046,0.9888589978218079,2.083559989929199
60,3974.392035007477,[64],16,0.0001,1,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.8905528783798218,1.917499303817749,1.4156806468963623,1.592040777206421
60,4137.3628969192505,[16],64,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.330175518989563,3.6588566303253174,0.9434159398078918,2.6495144367218018
60,4144.247139930725,"[16, 16]",16,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.3324518203735352,4.669443607330322,0.9395110011100769,4.0962018966674805
60,4300.141980886459,[16],128,0.0001,0,<class 'torch.nn.modules.activation.Sigmoid'>,1,2.372612237930298,2.8440937995910645,1.682722806930542,2.22243332862854
60,4485.389850139618,[64],64,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.2093729972839355,5.536213397979736,0.8565662503242493,4.178195953369141
60,4526.785354614258,"[64, 16]",16,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.4791195392608643,3.375776767730713,1.0653510093688965,2.8164870738983154
60,4601.766925811768,"[64, 16]",16,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.2364391088485718,5.064071178436279,0.8717570304870605,3.944922685623169
60,4774.1535477638245,"[16, 64]",16,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.3903223276138306,3.712125301361084,0.9889242053031921,3.1917922496795654
60,4791.7878448963165,[16],256,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.3207957744598389,4.103139400482178,0.9364748001098633,3.1578469276428223
60,4840.831540107727,[256],16,0.05,0,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.4245436191558838,2.9329915046691895,1.0638822317123413,2.642282247543335
60,4847.257311344147,[64],128,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.1863172054290771,4.998102188110352,0.8410728573799133,3.901341199874878
60,4860.363241195679,[256],16,0.0001,2,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.7204573154449463,1.7176052331924438,1.22829008102417,1.4833829402923584
60,4984.528607606888,[64],128,0.001,1,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.4425766468048096,2.9220080375671387,1.0225664377212524,2.6794166564941406
60,5521.6342668533325,[256],64,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.2292615175247192,4.180286407470703,0.8557365536689758,3.481489896774292
60,5581.473019838333,"[128, 16, 128]",16,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.3920118808746338,3.435875654220581,0.9828857183456421,2.9527108669281006
60,5587.764322280884,[64],256,0.01,1,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.261431336402893,2.738023042678833,0.8971790075302124,2.461775302886963
60,5688.986432313919,[512],16,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.4137839078903198,3.4390430450439453,1.005548119544983,2.866891384124756
60,5915.940690040588,"[128, 64]",64,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.3578640222549438,3.2262585163116455,0.9535313844680786,2.7036356925964355
60,5947.413866519928,[256],128,0.005,2,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.3281581401824951,3.0591158866882324,0.9444311857223511,2.79776668548584
60,5961.020080804825,[512],128,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,0.9393278956413269,4.712615013122559,0.6609919667243958,4.06427526473999
60,5988.661767482758,"[16, 64]",128,0.05,2,<class 'torch.nn.modules.activation.Sigmoid'>,2,1.248581051826477,2.4579904079437256,0.9006508588790894,2.174722671508789
60,6248.468622922897,[256],512,0.01,1,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.218169093132019,2.693039655685425,0.8619804382324219,2.3889248371124268
60,6436.2027089595795,"[16, 256]",128,0.001,0,<class 'torch.nn.modules.activation.Sigmoid'>,2,1.427680492401123,2.7083516120910645,1.0128169059753418,2.458024740219116
60,6459.1065192222595,"[256, 16, 16]",16,0.01,1,<class 'torch.nn.modules.activation.Sigmoid'>,3,1.4503002166748047,2.3041818141937256,1.0339139699935913,2.0372936725616455
60,6596.751967906952,"[64, 64]",256,0.01,1,<class 'torch.nn.modules.activation.Sigmoid'>,2,1.23844575881958,2.2954342365264893,0.8796923756599426,2.0324013233184814
60,6666.400612592697,"[64, 128, 16]",16,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.3610668182373047,3.3312442302703857,0.9709712266921997,2.8515076637268066
60,6695.049585819244,"[256, 64]",64,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.3227250576019287,3.685997486114502,0.9258531332015991,3.2175803184509277
60,6767.537809371948,"[64, 256]",64,0.005,1,<class 'torch.nn.modules.activation.Sigmoid'>,2,1.337217926979065,2.8753750324249268,0.954603374004364,2.6275062561035156
60,7035.258092164993,"[16, 512]",128,0.0001,2,<class 'torch.nn.modules.activation.Sigmoid'>,2,1.7445980310440063,1.8154561519622803,1.2430312633514404,1.5652421712875366
60,7075.617981433868,"[16, 128, 16]",256,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.6323560476303101,5.462705135345459,0.44999393820762634,4.678018093109131
60,7607.237209558487,"[16, 512]",128,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,2,0.7361043095588684,5.3182501792907715,0.5233889818191528,4.310513496398926
60,7856.139323472977,"[16, 64, 256]",256,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.3097862005233765,4.317735195159912,0.9204185605049133,4.031290531158447
60,7899.100569725037,"[256, 16, 64]",512,0.001,0,<class 'torch.nn.modules.activation.Sigmoid'>,3,1.3642410039901733,2.7008249759674072,0.9621489644050598,2.4439682960510254
60,7911.915038824081,"[256, 16]",512,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,2,0.5167314410209656,7.279526710510254,0.3734334111213684,6.549742221832275
60,7961.562416791916,"[128, 512]",128,0.0001,0,<class 'torch.nn.modules.activation.Sigmoid'>,2,1.4830119609832764,3.1205873489379883,1.0507781505584717,2.888518810272217
60,8206.069093704224,"[512, 256]",16,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.2966384887695312,3.5992321968078613,0.9071393013000488,3.138950824737549
60,8331.135165452957,"[64, 256, 16]",64,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,3,0.6184543371200562,5.533270359039307,0.4396330714225769,4.011857509613037
60,8343.211995124817,"[512, 512]",16,0.005,2,<class 'torch.nn.modules.activation.Sigmoid'>,2,1.446786642074585,2.721182346343994,1.0282135009765625,2.445686101913452
60,8383.047466039658,[64],512,0.05,1,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.177315354347229,3.2192108631134033,0.8378656506538391,2.9287376403808594
60,8388.853678226471,[64],512,0.005,2,<class 'torch.nn.modules.activation.Sigmoid'>,1,1.2733213901519775,2.7604892253875732,0.8987610936164856,2.510716438293457
60,8476.907608747482,"[512, 128, 256]",64,0.0001,0,<class 'torch.nn.modules.activation.Sigmoid'>,3,1.4715250730514526,2.78613018989563,1.0485435724258423,2.4995367527008057
60,8793.52612376213,"[256, 64]",512,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,2,0.8143385052680969,6.589238166809082,0.6068218946456909,5.384329795837402
60,8917.153293848038,"[256, 512]",512,0.001,0,<class 'torch.nn.modules.activation.Sigmoid'>,2,1.3555552959442139,3.306157350540161,0.9681620597839355,3.0293257236480713
60,9024.977597951889,"[64, 256, 512]",256,0.01,0,<class 'torch.nn.modules.activation.Sigmoid'>,3,1.2661998271942139,2.248530149459839,0.915846049785614,1.9802716970443726
60,9621.923343896866,"[64, 128]",512,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.3084924221038818,4.00586462020874,0.9188293218612671,3.533550262451172
60,9644.095694541931,"[512, 256]",512,0.0001,2,<class 'torch.nn.modules.activation.Sigmoid'>,2,1.4553518295288086,3.0969185829162598,1.0294618606567383,2.8486459255218506
60,9687.317065000534,"[256, 128, 512]",16,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.2427713871002197,4.707194805145264,0.8764969706535339,4.057986259460449
60,10163.925707578659,"[128, 16, 16]",512,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.3325684070587158,3.316638946533203,0.9343199729919434,2.781299114227295
60,10206.638895511627,"[256, 512]",128,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,2,0.73440021276474,5.59501314163208,0.5123503804206848,4.861660480499268
60,10290.56541132927,"[512, 256]",128,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,2,0.7555666565895081,5.7246785163879395,0.5227320194244385,5.059174537658691
60,10713.489397525787,"[128, 16, 128]",512,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,3,0.925029456615448,5.367419242858887,0.6839174628257751,4.399111747741699
60,10735.363505840302,"[64, 64, 16]",512,0.005,1,<class 'torch.nn.modules.activation.Sigmoid'>,3,1.2306790351867676,2.1231884956359863,0.8732978701591492,1.8668317794799805
60,10817.640541791916,"[64, 128, 128]",512,0.005,2,<class 'torch.nn.modules.activation.Sigmoid'>,3,1.1930701732635498,1.7863562107086182,0.8443018198013306,1.4992923736572266
60,10869.668308734894,"[256, 256, 16]",512,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,3,0.9871854782104492,4.9111785888671875,0.7301455140113831,3.9025681018829346
60,11375.898881673813,"[512, 512]",64,0.05,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.2205479145050049,6.271121025085449,0.8775054812431335,5.252386569976807
60,11802.670291900635,"[256, 512, 64]",512,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,3,0.8835899233818054,4.413877487182617,0.6370820999145508,3.643263339996338
60,11931.185178756714,"[16, 512, 512]",64,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.7033249735832214,4.0066423416137695,0.48891201615333557,3.491056442260742
